lead_time,model_name,accuracy,precision,recall,f1,roc_auc,pr_auc,balanced_accuracy
T+1,LightGBM,0.9927,0.9925,0.9837,0.9881,0.9997,0.9994,0.9902
T+1,RandomForest,0.9886,0.971,0.9926,0.9817,0.9997,0.9993,0.9897
T+1,XGBoost,0.99,0.9985,0.9689,0.9835,0.9998,0.9996,0.9841
T+10,LightGBM,0.9473,0.9698,0.8578,0.9104,0.9939,0.985,0.9228
T+10,RandomForest,0.9538,0.96,0.8889,0.9231,0.9909,0.972,0.936
T+10,XGBoost,0.9639,0.9671,0.9156,0.9406,0.994,0.9837,0.9507
T+3,LightGBM,0.9821,0.976,0.9659,0.971,0.9988,0.9974,0.9777
T+3,RandomForest,0.9744,0.9889,0.9274,0.9572,0.9983,0.9965,0.9614
T+3,XGBoost,0.9808,0.9731,0.9644,0.9688,0.9987,0.9973,0.9763
T+7,LightGBM,0.9535,0.969,0.8785,0.9215,0.9956,0.99,0.9329
T+7,RandomForest,0.9581,0.9695,0.8933,0.9298,0.9929,0.9807,0.9403
T+7,XGBoost,0.9645,0.9701,0.9141,0.9413,0.9943,0.986,0.9507
