lead_time,best_model,rank,feature,mean_abs_shap,direction_summary,operational_meaning
T+1,XGBoost,1,log_cyano,6.184892654418945,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+1,XGBoost,2,DO(㎎/L),0.7124004364013672,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+1,XGBoost,3,log_cyano_lag14,0.4122908115386963,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+1,XGBoost,4,log_cyano_lag1,0.2958211898803711,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+1,XGBoost,5,log_cyano_lag3,0.2936253249645233,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+1,XGBoost,6,doy_sin,0.26518547534942627,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+1,XGBoost,7,hoenam_log_cyano_lag14,0.24736401438713074,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+1,XGBoost,8,합계 일조시간(hr),0.21396277844905853,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+1,XGBoost,9,취수량2,0.19038619101047516,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+1,XGBoost,10,예년강수량,0.17320658266544342,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+1,XGBoost,11,log_cyano_roll7_max,0.1715080291032791,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+1,XGBoost,12,pH,0.15521034598350525,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+1,XGBoost,13,수온(℃),0.14468877017498016,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+1,XGBoost,14,탁도,0.119832843542099,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+1,XGBoost,15,log_cyano_roll14,0.11849039047956467,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+1,XGBoost,16,강우량(mm),0.08936665952205658,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+1,XGBoost,17,전년저수위,0.08774860948324203,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+1,XGBoost,18,최저기온(°C),0.08707929402589798,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+1,XGBoost,19,solar_mean_7d,0.07974056899547577,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+1,XGBoost,20,hoenam_log_cyano_lag10,0.07457121461629868,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+1,XGBoost,21,water_temp_mean_3d,0.07376756519079208,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+1,XGBoost,22,총방류량(㎥/s),0.0662190169095993,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+1,XGBoost,23,log_cyano_roll30,0.06277398020029068,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+1,XGBoost,24,chla_lag14,0.06272218376398087,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+1,XGBoost,25,예년저수위,0.060235846787691116,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+1,XGBoost,26,doy_cos,0.06008831411600113,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+1,XGBoost,27,평균 전운량(1/10),0.05852502956986427,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+1,XGBoost,28,water_temp_mean_7d,0.05742590129375458,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+1,XGBoost,29,dry_days,0.05659395828843117,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+1,XGBoost,30,log_cyano_lag10,0.05265595018863678,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+3,LightGBM,1,log_cyano,6.860138994322631,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+3,LightGBM,2,doy_sin,1.378757110577197,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+3,LightGBM,3,hoenam_log_cyano_lag10,0.3349455622192013,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+3,LightGBM,4,log_cyano_lag10,0.25932798916108885,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+3,LightGBM,5,최저기온(°C),0.22695741164639935,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+3,LightGBM,6,pH,0.2171685761701766,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+3,LightGBM,7,log_cyano_lag14,0.20589065953331195,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+3,LightGBM,8,log_cyano_lag3,0.19946499000703932,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+3,LightGBM,9,평균기온(°C),0.191054065074756,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+3,LightGBM,10,탁도,0.1844229887765365,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+3,LightGBM,11,log_cyano_roll7_max,0.1679152070643018,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+3,LightGBM,12,log_cyano_lag1,0.1655094506559015,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+3,LightGBM,13,hoenam_log_cyano_lag14,0.16334140994804514,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+3,LightGBM,14,취수량2,0.13134405007028147,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+3,LightGBM,15,dayofyear,0.11771901423728733,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+3,LightGBM,16,수온(℃),0.10657900423349558,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+3,LightGBM,17,log_cyano_roll14,0.10655185081692072,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+3,LightGBM,18,doy_cos,0.09770156753257836,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+3,LightGBM,19,water_temp_mean_3d,0.08660808952391816,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+3,LightGBM,20,chla_lag30,0.08653788312684074,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+3,LightGBM,21,log_cyano_roll30,0.07984580973477871,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+3,LightGBM,22,log_cyano_roll7,0.0780308087263478,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+3,LightGBM,23,평균 풍속(m/s),0.06663248901794445,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+3,LightGBM,24,chla_lag14,0.06327919765023164,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+3,LightGBM,25,water_temp_lag7,0.06092111024911885,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+3,LightGBM,26,chla_lag7,0.06029762600922516,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+3,LightGBM,27,hoenam_to_site_log_cyano_diff_lag7,0.059693762063407346,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+3,LightGBM,28,총방류량(㎥/s),0.056556068971548884,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+3,LightGBM,29,DO(㎎/L),0.056501948241330195,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+3,LightGBM,30,chla_roll7,0.05602973299455333,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+7,LightGBM,1,log_cyano,3.62326679660888,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+7,LightGBM,2,doy_sin,1.0096534352390114,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+7,LightGBM,3,water_temp_lag7,0.9071954895819204,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+7,LightGBM,4,탁도,0.8039238123403952,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+7,LightGBM,5,month_sin,0.5313009305646562,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+7,LightGBM,6,log_cyano_roll7_max,0.4375255445729817,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+7,LightGBM,7,log_cyano_lag10,0.3081286896788786,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+7,LightGBM,8,log_cyano_lag1,0.29933425588117185,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+7,LightGBM,9,doy_cos,0.2723415844775295,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+7,LightGBM,10,dayofyear,0.23824823598187986,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+7,LightGBM,11,평균기온(°C),0.23802524315961968,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+7,LightGBM,12,취수량2,0.2177008924240748,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+7,LightGBM,13,hoenam_log_cyano_lag7,0.21156479524323005,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+7,LightGBM,14,water_temp_mean_3d,0.19802066493604778,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+7,LightGBM,15,log_cyano_lag7,0.17134947300335795,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+7,LightGBM,16,예년저수위,0.13850529529062786,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+7,LightGBM,17,hoenam_to_site_log_cyano_diff_lag7,0.13548712137273577,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+7,LightGBM,18,hoenam_log_cyano_lag10,0.13398016115387515,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+7,LightGBM,19,DO(㎎/L),0.13239782409119139,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+7,LightGBM,20,log_cyano_roll14,0.13074151727813535,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+7,LightGBM,21,log_cyano_lag30,0.10286712383503106,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+7,LightGBM,22,log_cyano_roll30,0.09744574599907146,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+7,LightGBM,23,pH,0.09215125304393841,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+7,LightGBM,24,chla_roll14,0.08942278314412705,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+7,LightGBM,25,최고기온(°C),0.08847865070951444,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+7,LightGBM,26,hoenam_log_cyano_lag14,0.08789650155772136,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+7,LightGBM,27,chla_roll7,0.08709087346245532,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+7,LightGBM,28,chla_lag3,0.08316623747042144,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+7,LightGBM,29,log_cyano_lag14,0.08250685255812633,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+7,LightGBM,30,총방류량(㎥/s),0.0785686014001743,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+10,LightGBM,1,log_cyano,2.480912124596178,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+10,LightGBM,2,month_sin,1.4715089934262142,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+10,LightGBM,3,water_temp_mean_7d,1.3757463517029533,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+10,LightGBM,4,doy_sin,0.8562880715924737,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+10,LightGBM,5,doy_cos,0.6740149258109851,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+10,LightGBM,6,dayofyear,0.516480489454937,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+10,LightGBM,7,탁도,0.44665035861907765,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+10,LightGBM,8,log_cyano_roll7,0.44524224483141744,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+10,LightGBM,9,log_cyano_lag1,0.423467836146556,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+10,LightGBM,10,water_temp_lag7,0.22759125912824643,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+10,LightGBM,11,log_cyano_roll7_max,0.2141579327844161,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+10,LightGBM,12,hoenam_log_cyano_lag10,0.1867935087393106,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
T+10,LightGBM,13,water_temp_lag3,0.17653151215251,summary plot에서 색상-위치 관계로 확인,운영 대응 시나리오 매핑 대상
