experiment,lead_time,model_name,dataset,threshold,n_samples,positive_rate,accuracy,precision,recall,f1,roc_auc,pr_auc,balanced_accuracy,tn,fp,fn,tp
env_with_chla,T+1,RandomForest,validation,0.34,1095,0.2447488584474886,0.9397260273972603,0.8768656716417911,0.8768656716417911,0.8768656716417911,0.9862432095868902,0.9619191541935136,0.9184812034146077,794,33,33,235
env_with_chla,T+1,RandomForest,test,0.34,2190,0.3082191780821918,0.8972602739726028,0.9891304347826086,0.674074074074074,0.801762114537445,0.9809597848673755,0.9652055386862278,0.8353868720205353,1510,5,220,455
env_with_chla,T+1,XGBoost,validation,0.09,1095,0.2447488584474886,0.9452054794520548,0.8421052631578947,0.9552238805970149,0.8951048951048951,0.9877005540616146,0.9632348963721576,0.9485913840711797,779,48,12,256
env_with_chla,T+1,XGBoost,test,0.09,2190,0.3082191780821918,0.9333333333333333,0.9616055846422339,0.8162962962962963,0.8830128205128205,0.9853181762620706,0.9703929488118941,0.900887422075541,1493,22,124,551
env_with_chla,T+1,LightGBM,validation,0.06,1095,0.2447488584474886,0.94337899543379,0.8759124087591241,0.8955223880597015,0.8856088560885609,0.984059448826003,0.9500081104013423,0.9272049667021602,793,34,28,240
env_with_chla,T+1,LightGBM,test,0.06,2190,0.3082191780821918,0.9054794520547945,0.9552529182879378,0.7274074074074074,0.8259041211101766,0.9823160982764944,0.9601284573606702,0.8561129446277961,1492,23,184,491
env_with_chla,T+3,RandomForest,validation,0.33,1095,0.2447488584474886,0.9452054794520548,0.8795620437956204,0.8992537313432836,0.8892988929889298,0.9865274594379975,0.9615872702339378,0.929675233265354,794,33,27,241
env_with_chla,T+3,RandomForest,test,0.33,2184,0.3090659340659341,0.9029304029304029,0.9853249475890985,0.6962962962962963,0.8159722222222222,0.9847679355962988,0.9702743603662853,0.8458287313158088,1502,7,205,470
env_with_chla,T+3,XGBoost,validation,0.07,1095,0.2447488584474886,0.9452054794520548,0.8398692810457516,0.9589552238805971,0.8954703832752613,0.98728545904095,0.9624515053669299,0.9498524607915682,778,49,11,257
env_with_chla,T+3,XGBoost,test,0.07,2184,0.3090659340659341,0.9313186813186813,0.9502572898799314,0.8207407407407408,0.8807631160572337,0.9861139336818594,0.9712128958919028,0.9007613577792504,1480,29,121,554
env_with_chla,T+3,LightGBM,validation,0.06,1095,0.2447488584474886,0.9424657534246575,0.8451178451178452,0.9365671641791045,0.8884955752212389,0.9880524824486997,0.96598815444362,0.9404722157050298,781,46,17,251
env_with_chla,T+3,LightGBM,test,0.06,2184,0.3090659340659341,0.9125457875457875,0.9514925373134329,0.7555555555555555,0.8422791081750619,0.982010161254694,0.9581910339791925,0.8691628009719461,1483,26,165,510
env_with_chla,T+7,RandomForest,validation,0.4,1095,0.2447488584474886,0.9461187214611873,0.9446808510638298,0.8283582089552238,0.882703777335984,0.9844023534082911,0.9472185375597648,0.9063193704993773,814,13,46,222
env_with_chla,T+7,RandomForest,test,0.4,2172,0.31077348066298344,0.8839779005524862,0.9953161592505855,0.6296296296296297,0.7713248638838476,0.9841292461466143,0.9709002459269236,0.8141468121428042,1495,2,250,425
env_with_chla,T+7,XGBoost,validation,0.35,1095,0.2447488584474886,0.9452054794520548,0.8443708609271523,0.9514925373134329,0.8947368421052632,0.9873576494793265,0.9614599392992329,0.9473303073507914,780,47,13,255
env_with_chla,T+7,XGBoost,test,0.35,2172,0.31077348066298344,0.9065377532228361,0.9738955823293173,0.7185185185185186,0.8269394714407502,0.9879927756748064,0.971904788723333,0.8549172418911898,1484,13,190,485
env_with_chla,T+7,LightGBM,validation,0.22,1095,0.2447488584474886,0.9333333333333333,0.8735632183908046,0.8507462686567164,0.8620037807183365,0.982349437816961,0.9512735914380999,0.9054215019220704,794,33,40,228
env_with_chla,T+7,LightGBM,test,0.22,2172,0.31077348066298344,0.8812154696132597,0.9727891156462585,0.6355555555555555,0.7688172043010753,0.9872624260867414,0.9702449105441538,0.8137697617457136,1485,12,246,429
env_with_chla,T+10,RandomForest,validation,0.37,1095,0.2447488584474886,0.9406392694063926,0.8918918918918919,0.8619402985074627,0.8766603415559773,0.9803551769568122,0.9287942517059993,0.9140414914544568,799,28,37,231
env_with_chla,T+10,RandomForest,test,0.37,2163,0.3120665742024965,0.8876560332871013,0.9821428571428571,0.6518518518518519,0.7836153161175423,0.9850995619275189,0.9698775199151954,0.8232377538829152,1480,8,235,440
env_with_chla,T+10,XGBoost,validation,0.26,1095,0.2447488584474886,0.9360730593607306,0.8113207547169812,0.9626865671641791,0.8805460750853242,0.9815147358732337,0.939844674092718,0.9450675882979299,767,60,10,258
env_with_chla,T+10,XGBoost,test,0.26,2163,0.3120665742024965,0.9320388349514563,0.9664310954063604,0.8103703703703704,0.8815471394037067,0.9909179609717245,0.9804678976144273,0.8988007765830346,1469,19,128,547
env_with_chla,T+10,LightGBM,validation,0.29,1095,0.2447488584474886,0.9424657534246575,0.9218106995884774,0.835820895522388,0.8767123287671232,0.9804905340287678,0.9429567046264912,0.9064231442545434,808,19,44,224
env_with_chla,T+10,LightGBM,test,0.29,2163,0.3120665742024965,0.8816458622283865,0.9816091954022989,0.6325925925925926,0.7693693693693694,0.9864914376742334,0.970384092516782,0.8136081242532855,1480,8,248,427
env_no_chla,T+1,RandomForest,validation,0.31,1095,0.2447488584474886,0.9397260273972603,0.8713235294117647,0.8843283582089553,0.8777777777777778,0.9842128535075529,0.9569123829752638,0.9210033568553846,792,35,31,237
env_no_chla,T+1,RandomForest,test,0.31,2190,0.3082191780821918,0.8936073059360731,0.9911111111111112,0.6607407407407407,0.7928888888888889,0.9812565701014546,0.96512409408716,0.8290502383571691,1511,4,229,446
env_no_chla,T+1,XGBoost,validation,0.05,1095,0.2447488584474886,0.9305936073059361,0.7944785276073619,0.9664179104477612,0.8720538720538721,0.9837887346820913,0.9522072724576589,0.9427010954899023,760,67,9,259
