lead_time,best_model,rank,feature,mean_abs_shap
T+1,XGBoost,1,doy_sin,1.4989545345306396
T+1,XGBoost,2,연도,1.0203797817230225
T+1,XGBoost,3,탁도,0.7702838182449341
T+1,XGBoost,4,month_sin,0.5756804347038269
T+1,XGBoost,5,dayofyear,0.5682076811790466
T+1,XGBoost,6,pH,0.4536884129047394
T+1,XGBoost,7,Chl-a (㎎/㎥),0.3364180326461792
T+1,XGBoost,8,air_temp_mean_14d,0.24102289974689484
T+1,XGBoost,9,water_temp_lag14,0.23013482987880707
T+1,XGBoost,10,수온(℃),0.2222677320241928
T+1,XGBoost,11,rain_sum_30d,0.20855821669101715
T+1,XGBoost,12,DO(㎎/L),0.19815289974212646
T+1,XGBoost,13,air_temp_mean_7d,0.17413486540317535
T+1,XGBoost,14,수위(EL.m),0.16392172873020172
T+1,XGBoost,15,예년저수위,0.15939165651798248
T+1,XGBoost,16,채수위치_추동,0.15686212480068207
T+1,XGBoost,17,solar_mean_14d,0.14888063073158264
T+1,XGBoost,18,chla_lag14,0.1477399468421936
T+1,XGBoost,19,chla_roll14,0.14652985334396362
T+1,XGBoost,20,water_temp_mean_7d,0.13510365784168243
T+1,XGBoost,21,전년저수위,0.10504131764173508
T+1,XGBoost,22,CHD,0.08357295393943787
T+1,XGBoost,23,취수량2,0.07378954440355301
T+1,XGBoost,24,doy_cos,0.06688949465751648
T+1,XGBoost,25,flow_balance_14d,0.06481995433568954
T+1,XGBoost,26,채수위치_회남,0.056215591728687286
T+1,XGBoost,27,HRT_14d,0.05485702306032181
T+1,XGBoost,28,chla_lag10,0.049815911799669266
T+1,XGBoost,29,chla_lag7,0.04807417839765549
T+1,XGBoost,30,평균기온(°C),0.04349878057837486
T+3,XGBoost,1,doy_sin,1.2581650018692017
T+3,XGBoost,2,연도,1.0835041999816895
T+3,XGBoost,3,탁도,0.8837149739265442
T+3,XGBoost,4,dayofyear,0.6317172646522522
T+3,XGBoost,5,pH,0.4599624574184418
T+3,XGBoost,6,month_sin,0.4107140600681305
T+3,XGBoost,7,air_temp_mean_14d,0.3740541934967041
T+3,XGBoost,8,rain_sum_30d,0.2758792042732239
T+3,XGBoost,9,Chl-a (㎎/㎥),0.25649335980415344
T+3,XGBoost,10,water_temp_lag14,0.22221319377422333
T+3,XGBoost,11,chla_roll14,0.20528970658779144
T+3,XGBoost,12,DO(㎎/L),0.18524658679962158
T+3,XGBoost,13,수위(EL.m),0.17883779108524323
T+3,XGBoost,14,water_temp_mean_3d,0.16617296636104584
T+3,XGBoost,15,채수위치_추동,0.14364470541477203
T+3,XGBoost,16,solar_mean_14d,0.1390281319618225
T+3,XGBoost,17,chla_lag14,0.1388159841299057
T+3,XGBoost,18,수온(℃),0.13152621686458588
T+3,XGBoost,19,water_temp_mean_7d,0.1249348372220993
T+3,XGBoost,20,예년저수위,0.12380185723304749
T+3,XGBoost,21,air_temp_mean_7d,0.10994652658700943
T+3,XGBoost,22,취수량2,0.09295977652072906
T+3,XGBoost,23,doy_cos,0.08323695510625839
T+3,XGBoost,24,water_temp_lag10,0.083145871758461
